timestamp_sec,zone_a,zone_b,zone_c
28800.0,0,1,2
28812.0,0,1,2
28824.0,0,1,1
28836.0,0,2,1
28848.0,0,2,0
28860.0,0,2,0
28872.0,0,2,0
28884.0,0,2,1
28896.0,0,2,1
28908.0,0,1,1
28920.0,0,1,2
28932.0,0,1,2
28944.0,0,1,2
28956.0,0,1,2
28968.0,0,2,2
28980.0,0,1,2
28992.0,0,1,2
29004.0,0,1,2
29016.0,0,2,2
29028.0,0,2,2
29040.0,0,2,2
29052.0,0,3,3
29064.0,0,2,3
29076.0,0,2,3
29088.0,0,2,3
29100.0,0,2,3
29112.0,0,1,3
29124.0,0,2,2
29136.0,0,2,2
29148.0,0,3,2
29160.0,0,3,2
29172.0,0,3,2
29184.0,0,4,1
29196.0,0,4,1
29208.0,0,3,1
29220.0,0,4,1
29232.0,0,3,1
29244.0,0,4,1
29256.0,0,4,1
29268.0,0,4,1
29280.0,0,5,1
29292.0,0,5,1
29304.0,0,5,1
29316.0,0,5,1
29328.0,0,5,1
29340.0,0,5,1
29352.0,1,3,2
29364.0,1,3,2
29376.0,1,3,2
29388.0,1,3,2
29400.0,1,3,2
29412.0,1,2,3
29424.0,1,1,3
29436.0,1,2,3
29448.0,1,1,3
29460.0,1,1,3
29472.0,1,1,3
29484.0,1,1,3
29496.0,1,2,4
29508.0,1,1,3
29520.0,1,1,3
29532.0,1,1,3
29544.0,1,1,4
29556.0,1,1,5
29568.0,1,1,4
29580.0,1,1,4
29592.0,1,1,4
29604.0,1,1,6
29616.0,1,1,6
29628.0,1,1,5
29640.0,1,1,5
29652.0,1,1,5
29664.0,1,1,6
29676.0,1,2,5
29688.0,1,2,5
29700.0,1,2,4
29712.0,1,2,3
29724.0,2,0,4
29736.0,2,2,3
29748.0,2,2,3
29760.0,1,1,3
29772.0,1,3,2
29784.0,1,3,2
29796.0,1,2,2
29808.0,2,2,4
29820.0,2,3,4
29832.0,1,3,3
29844.0,0,2,4
29856.0,1,2,4
29868.0,1,2,4
29880.0,1,1,4
29892.0,1,1,5
29904.0,1,1,5
29916.0,1,1,5
29928.0,1,1,5
29940.0,1,1,5
29952.0,1,1,5
29964.0,1,1,5
29976.0,1,1,5
29988.0,2,0,5
30000.0,2,1,4
30012.0,2,1,4
30024.0,2,1,4
30036.0,2,1,4
30048.0,2,1,4
30060.0,2,0,3
30072.0,2,0,3
30084.0,2,1,3
30096.0,2,1,2
30108.0,2,1,3
30120.0,1,1,3
30132.0,1,1,3
30144.0,1,1,4
30156.0,1,1,4
30168.0,1,1,5
30180.0,1,1,5
30192.0,1,1,5
30204.0,1,2,4
30216.0,1,2,4
30228.0,1,2,4
30240.0,2,1,4
30252.0,2,1,4
30264.0,2,1,4
30276.0,2,1,4
30288.0,2,1,4
30300.0,2,1,4
30312.0,2,1,4
30324.0,2,1,4
30336.0,2,1,4
30348.0,2,1,4
30360.0,2,2,3
30372.0,2,2,3
30384.0,2,2,3
30396.0,2,2,3
30408.0,2,3,2
30420.0,2,2,2
30432.0,2,2,2
30444.0,2,3,2
30456.0,2,3,2
30468.0,2,3,2
30480.0,2,3,2
30492.0,2,3,2
30504.0,2,3,2
30516.0,1,3,2
30528.0,1,3,2
30540.0,1,3,2
30552.0,1,3,2
30564.0,1,2,2
30576.0,1,2,2
30588.0,1,3,2
30600.0,1,3,2
30612.0,2,2,2
30624.0,1,2,2
30636.0,2,2,2
30648.0,2,2,2
30660.0,1,3,2
30672.0,1,3,2
30684.0,1,3,2
30696.0,0,3,2
30708.0,1,2,2
30720.0,1,3,2
30732.0,1,3,2
30744.0,1,2,2
30756.0,1,3,2
30768.0,0,4,2
30780.0,0,4,2
30792.0,0,4,2
30804.0,0,4,2
30816.0,0,3,2
30828.0,0,3,2
30840.0,0,3,2
30852.0,0,4,2
30864.0,0,3,2
30876.0,0,3,2
30888.0,0,4,2
